  18,828,067 attempts |   250 sec | 75,312 attempts / sec |  68 solutions found | searching for (1,0,0)
  18,904,504 attempts |   251 sec | 75,316 attempts / sec |  68 solutions found | searching for (1,0,0)
  18,981,687 attempts |   252 sec | 75,323 attempts / sec |  68 solutions found | searching for (1,0,0)
  19,057,995 attempts |   253 sec | 75,327 attempts / sec |  68 solutions found | searching for (1,0,0)
  19,135,347 attempts |   254 sec | 75,335 attempts / sec |  68 solutions found | searching for (1,0,0)
  19,212,984 attempts |   255 sec | 75,344 attempts / sec |  70 solutions found | searching for (1,0,0)
  19,291,949 attempts |   256 sec | 75,359 attempts / sec |  70 solutions found | searching for (1,0,0)
  19,370,151 attempts |   257 sec | 75,370 attempts / sec |  70 solutions found | searching for (1,0,0)
  19,447,513 attempts |   258 sec | 75,377 attempts / sec |  72 solutions found | searching for (1,0,0)
  19,523,366 attempts |   259 sec | 75,379 attempts / sec |  72 solutions found | searching for (1,0,1)
  19,597,333 attempts |   260 sec | 75,374 attempts / sec |  72 solutions found | searching for (1,0,2)
  19,671,215 attempts |   261 sec | 75,368 attempts / sec |  72 solutions found | searching for (1,0,3)
  19,745,498 attempts |   262 sec | 75,364 attempts / sec |  74 solutions found | searching for (1,0,3)
  19,819,365 attempts |   263 sec | 75,358 attempts / sec |  74 solutions found | searching for (1,0,3)
  19,894,045 attempts |   264 sec | 75,356 attempts / sec |  74 solutions found | searching for (1,0,3)
  19,968,061 attempts |   265 sec | 75,351 attempts / sec |  76 solutions found | searching for (1,0,3)
  20,042,117 attempts |   266 sec | 75,346 attempts / sec |  76 solutions found | searching for (1,0,3)
  20,115,687 attempts |   267 sec | 75,339 attempts / sec |  76 solutions found | searching for (1,0,3)
  20,189,741 attempts |   268 sec | 75,334 attempts / sec |  76 solutions found | searching for (1,0,3)
  20,265,074 attempts |   269 sec | 75,334 attempts / sec |  76 solutions found | searching for (1,0,3)
  20,340,142 attempts |   270 sec | 75,333 attempts / sec |  76 solutions found | searching for (1,0,3)
  20,414,468 attempts |   271 sec | 75,329 attempts / sec |  76 solutions found | searching for (1,0,3)
  20,488,066 attempts |   272 sec | 75,323 attempts / sec |  76 solutions found | searching for (1,0,3)
  20,562,904 attempts |   273 sec | 75,321 attempts / sec |  76 solutions found | searching for (1,0,3)
  20,636,719 attempts |   274 sec | 75,316 attempts / sec |  76 solutions found | searching for (1,0,3)
  20,710,229 attempts |   275 sec | 75,309 attempts / sec |  76 solutions found | searching for (1,0,3)
  20,783,693 attempts |   276 sec | 75,303 attempts / sec |  76 solutions found | searching for (1,0,3)
