  24,200,000 attempts |   315 sec | 76,857 attempts / sec |  90 solutions found | searching for (1,3,3)
  24,300,000 attempts |   316 sec | 76,861 attempts / sec |  90 solutions found | searching for (1,3,3)
  24,400,000 attempts |   317 sec | 76,861 attempts / sec |  92 solutions found | searching for (1,3,3)
  24,500,000 attempts |   319 sec | 76,864 attempts / sec |  92 solutions found | searching for (1,3,3)
  24,600,000 attempts |   320 sec | 76,861 attempts / sec |  92 solutions found | searching for (1,3,3)
  24,700,000 attempts |   321 sec | 76,846 attempts / sec |  92 solutions found | searching for (1,3,3)
  24,800,000 attempts |   323 sec | 76,845 attempts / sec |  92 solutions found | searching for (1,3,3)
  24,900,000 attempts |   324 sec | 76,849 attempts / sec |  92 solutions found | searching for (1,3,3)
  25,000,000 attempts |   325 sec | 76,846 attempts / sec |  92 solutions found | searching for (1,3,3)
  25,100,000 attempts |   327 sec | 76,845 attempts / sec |  92 solutions found | searching for (1,3,3)
  25,200,000 attempts |   328 sec | 76,842 attempts / sec |  94 solutions found | searching for (1,3,3)
  25,300,000 attempts |   329 sec | 76,838 attempts / sec |  96 solutions found | searching for (1,3,3)
  25,400,000 attempts |   331 sec | 76,835 attempts / sec |  96 solutions found | searching for (1,3,3)
  25,500,000 attempts |   332 sec | 76,827 attempts / sec |  96 solutions found | searching for (1,3,3)
  25,600,000 attempts |   333 sec | 76,820 attempts / sec |  96 solutions found | searching for (1,3,3)
  25,700,000 attempts |   335 sec | 76,815 attempts / sec |  96 solutions found | searching for (1,3,3)
  25,800,000 attempts |   336 sec | 76,808 attempts / sec |  96 solutions found | searching for (1,3,3)
  25,900,000 attempts |   337 sec | 76,801 attempts / sec |  96 solutions found | searching for (1,3,3)
  26,000,000 attempts |   339 sec | 76,792 attempts / sec |  96 solutions found | searching for (1,3,3)
  26,100,000 attempts |   340 sec | 76,788 attempts / sec |  96 solutions found | searching for (2,0,0)
  26,200,000 attempts |   341 sec | 76,790 attempts / sec |  96 solutions found | searching for (2,0,0)
  26,300,000 attempts |   342 sec | 76,791 attempts / sec |  96 solutions found | searching for (2,0,0)
  26,400,000 attempts |   344 sec | 76,787 attempts / sec |  96 solutions found | searching for (2,0,0)
  26,500,000 attempts |   345 sec | 76,780 attempts / sec |  96 solutions found | searching for (2,0,0)
  26,600,000 attempts |   346 sec | 76,769 attempts / sec |  96 solutions found | searching for (2,0,0)
  26,700,000 attempts |   348 sec | 76,762 attempts / sec |  96 solutions found | searching for (2,0,0)
  26,800,000 attempts |   349 sec | 76,756 attempts / sec |  96 solutions found | searching for (2,0,0)
  26,900,000 attempts |   350 sec | 76,751 attempts / sec |  98 solutions found | searching for (2,0,0)
  27,000,000 attempts |   352 sec | 76,745 attempts / sec |  98 solutions found | searching for (2,0,0)
  27,100,000 attempts |   353 sec | 76,739 attempts / sec | 100 solutions found | searching for (2,0,0)
  27,200,000 attempts |   354 sec | 76,734 attempts / sec | 100 solutions found | searching for (2,0,0)
  27,300,000 attempts |   356 sec | 76,728 attempts / sec | 100 solutions found | searching for (2,0,0)
  27,400,000 attempts |   357 sec | 76,720 attempts / sec | 100 solutions found | searching for (2,0,0)
  27,500,000 attempts |   358 sec | 76,718 attempts / sec | 100 solutions found | searching for (2,0,0)
  27,600,000 attempts |   360 sec | 76,711 attempts / sec | 100 solutions found | searching for (2,0,0)
  27,700,000 attempts |   361 sec | 76,704 attempts / sec | 100 solutions found | searching for (2,0,0)
  27,800,000 attempts |   362 sec | 76,697 attempts / sec | 100 solutions found | searching for (2,0,0)
  27,900,000 attempts |   364 sec | 76,689 attempts / sec | 102 solutions found | searching for (2,0,0)
  28,000,000 attempts |   365 sec | 76,681 attempts / sec | 102 solutions found | searching for (2,0,0)
  28,100,000 attempts |   367 sec | 76,670 attempts / sec | 104 solutions found | searching for (2,0,1)
  28,200,000 attempts |   368 sec | 76,654 attempts / sec | 104 solutions found | searching for (2,0,2)
  28,300,000 attempts |   369 sec | 76,644 attempts / sec | 104 solutions found | searching for (2,0,3)
  28,400,000 attempts |   371 sec | 76,637 attempts / sec | 104 solutions found | searching for (2,0,3)
  28,500,000 attempts |   372 sec | 76,626 attempts / sec | 104 solutions found | searching for (2,0,3)
  28,600,000 attempts |   373 sec | 76,622 attempts / sec | 104 solutions found | searching for (2,0,3)
  28,700,000 attempts |   375 sec | 76,619 attempts / sec | 104 solutions found | searching for (2,0,3)
  28,800,000 attempts |   376 sec | 76,613 attempts / sec | 104 solutions found | searching for (2,0,3)
  28,900,000 attempts |   377 sec | 76,606 attempts / sec | 104 solutions found | searching for (2,0,3)
  29,000,000 attempts |   379 sec | 76,584 attempts / sec | 104 solutions found | searching for (2,0,3)
  29,100,000 attempts |   380 sec | 76,574 attempts / sec | 106 solutions found | searching for (2,0,3)
  29,200,000 attempts |   381 sec | 76,569 attempts / sec | 108 solutions found | searching for (2,0,3)
